#,Waktu Gempa,Lintang,Bujur,Magnitudo,Kedalaman,Wilayah,Jam
1,5-Dec-20,-7.84,128.34,5.5,10 Km,70 km TimurLaut MALUKUBRTDAYA,15:08:26
2,5-Dec-20,5.29,93.86,5,10 Km,165 km BaratDaya BANDAACEH-ACEH
,03:09:34 WIB,,,,,
3,4-Dec-20,3.15,98.16,5.4,131 Km,37 km BaratLaut KAB-KARO-SUMUT
,02:48:40 WIB,,,,,
4,3-Dec-20,-3.41,123.37,5.3,10 Km,78 km TimurLaut KONAWE-KEP-SULTRA
,03:36:21 WIB,,,,,
5,1-Dec-20,2.97,96.04,5,26 Km,66 km BaratLaut SINABANG-ACEH
,00:14:12 WIB,,,,,
6,29-Nov-20,-4.97,102.93,5.1,10 Km,50 km BaratDaya KAUR-BENGKULU
,21:48:28 WIB,,,,,
7,25-Nov-20,1.85,127.28,5.4,77 Km,64 km BaratLaut HALMAHERABARAT-MALUT
,22:20:35 WIB,,,,,
8,24-Nov-20,-2.31,128.03,5.1,10 Km,85 km BaratLaut SERAMBAGIANBARAT-MALUKU
,15:33:29 WIB,,,,,
9,22-Nov-20,-2.43,127.53,5.3,10 Km,102 km BaratLaut SERAMBAGIANBARAT-MALUKU
,18:27:28 WIB,,,,,
10,21-Nov-20,-4.27,102.11,5,10 Km,55 km BaratDaya BENGKULU-BENGKULU
,23:58:37 WIB,,,,,
11,18-Nov-20,-4.88,102.71,5.2,38 Km,52 km BaratDaya BENGKULUSELATAN
,18:37:54 WIB,,,,,
12,18-Nov-20,-1.81,100.34,5.3,11 Km,57 km BaratDaya PESISIRSELATAN-SUMBAR
,11:41:59 WIB,,,,,
13,18-Nov-20,-9.5,119.02,5.1,10 Km,10 km TimurLaut KODI-SUMBABARATDAYA-NTT
,06:04:40 WIB,,,,,
14,17-Nov-20,-2.87,99.07,6.3,10 Km,109 km BaratDaya TUAPEJAT-SUMBAR
,08:44:07 WIB,,,,,
15,14-Nov-20,-6.74,105.14,5,10 Km,49 km BaratDaya SUMUR-BANTEN
,22:32:30 WIB,,,,,
16,14-Nov-20,5.69,95.56,5.3,10 Km,30 km TimurLaut BANDAACEH-ACEH
,01:33:08 WIB,,,,,
17,12-Nov-20,-9.53,118.17,5.2,24 Km,90 km BaratLaut KODI-SUMBABARATDAYA-NTT
,10:48:40 WIB,,,,,
18,10-Nov-20,-6.33,104,5.5,10 Km,121 km BaratDaya TANGGAMUS-LAMPUNG
,07:52:32 WIB,,,,,
19,9-Nov-20,-5.13,90.69,5.3,10 Km,1012 km BaratDaya NIASBARAT-SUMUT
,16:30:24 WIB,,,,,
20,7-Nov-20,-1.98,119.33,5.1,10 Km,21 km BaratLaut MAMUJUTENGAH-SULBAR
,06:41:48 WIB,,,,,
21,6-Nov-20,-7.73,128.51,5.1,148 Km,92 km TimurLaut MALUKUBRTDAYA
,13:20:06 WIB,,,,,
22,5-Nov-20,-7.57,106.05,5.2,10 Km,74 km BaratDaya BAYAH-BANTEN
,05:21:49 WIB,,,,,
23,3-Nov-20,0.27,97.9,5.2,10 Km,35 km Tenggara NIASSELATAN-SUMUT
,08:51:03 WIB,,,,,
24,3-Nov-20,-3.26,131.13,5.2,10 Km,73 km Tenggara SERAMBAGIANTIMUR-MALUKU
,01:02:00 WIB,,,,,
25,1-Nov-20,-7.27,129.35,6.3,196 Km,198 km TimurLaut MALUKUBRTDAYA
,10:43:20 WIB,,,,,
26,29-Oct-20,-0.3,124.46,5,10 Km,91 km Tenggara BOLAANGUKI-BOLSEL-SULUT
,08:54:17 WIB,,,,,
27,28-Oct-20,-0.3,124.49,5.7,10 Km,93 km Tenggara BOLAANGUKI-BOLSEL-SULUT
,16:08:58 WIB,,,,,
28,28-Oct-20,-2.32,119.07,5,10 Km,48 km TimurLaut MAMUJU-SULBAR
,05:50:34 WIB,,,,,
29,28-Oct-20,-2.24,119.22,5.4,10 Km,34 km BaratDaya MAMUJUTENGAH-SULBAR
,02:43:53 WIB,,,,,
30,26-Oct-20,0.59,121.48,5,62 Km,44 km Tenggara BUOL-SULTENG
,15:26:37 WIB,,,,,
31,25-Oct-20,-8.22,107.87,5.9,10 Km,90 km BaratDaya KAB-PANGANDARAN-JABAR
,07:56:45 WIB,,,,,
32,24-Oct-20,-1.91,138.42,5,10 Km,37 km BaratDaya SARMI-PAPUA
,15:21:59 WIB,,,,,
33,21-Oct-20,-3.31,100.35,5.2,10 Km,33 km BaratDaya PULAUPAGAISELATAN-SUMBAR
,21:35:09 WIB,,,,,
34,20-Oct-20,1.77,127.3,5.1,71 Km,56 km BaratLaut HALMAHERABARAT-MALUT
,10:12:50 WIB,,,,,
35,19-Oct-20,-7.28,126.63,5.3,389 Km,161 km BaratLaut MALUKUBRTDAYA
,21:11:56 WIB,,,,,
36,19-Oct-20,-3.3,100.33,5.3,10 Km,32 km BaratDaya PULAUPAGAISELATAN-SUMBAR
,16:42:53 WIB,,,,,
37,19-Oct-20,2.88,96.22,5.4,11 Km,48 km BaratLaut SINABANG-ACEH
,16:38:49 WIB,,,,,
38,19-Oct-20,-3.34,100.37,5,19 Km,36 km BaratDaya PULAUPAGAISELATAN-SUMBAR
,15:14:06 WIB,,,,,
39,19-Oct-20,-3.31,100.4,5.7,12 Km,32 km Tenggara PULAUPAGAISELATAN-SUMBAR
,14:47:22 WIB,,,,,
40,19-Oct-20,-3.31,100.32,5.8,14 Km,33 km BaratDaya PULAUPAGAISELATAN-SUMBAR
,14:31:30 WIB,,,,,
41,19-Oct-20,-3.33,100.25,5.1,10 Km,38 km BaratDaya PULAUPAGAISELATAN-SUMBAR
,05:48:50 WIB,,,,,
42,18-Oct-20,-3.28,100.23,5.3,27 Km,125 km BaratDaya MUKOMUKO-BENGKULU
,00:55:00 WIB,,,,,
43,17-Oct-20,-3.25,100.3,5.4,10 Km,117 km BaratDaya MUKOMUKO-BENGKULU
,07:36:02 WIB,,,,,
44,16-Oct-20,-5.21,101.77,5,20 Km,57 km BaratLaut ENGGANO-BENGKULU
,12:45:40 WIB,,,,,
45,15-Oct-20,-3.21,100.31,5.3,14 Km,114 km BaratDaya MUKOMUKO-BENGKULU
,16:41:16 WIB,,,,,
46,15-Oct-20,4.06,95.94,5.2,27 Km,22 km BaratDaya MEULABOH-ACEHBARAT
,11:59:54 WIB,,,,,
47,10-Oct-20,-4.61,102.76,5,21 Km,24 km BaratDaya BENGKULUSELATAN
,17:43:06 WIB,,,,,
48,9-Oct-20,-6.02,122.58,5.4,10 Km,47 km BaratDaya BUTONSELATAN-SULTRA
,09:57:20 WIB,,,,,
49,7-Oct-20,-10.61,121.11,5.1,29 Km,74 km Tenggara WULA-WAIJELU-NTT
,13:50:13 WIB,,,,,
50,6-Oct-20,-9.31,112.93,5,10 Km,134 km BaratDaya LUMAJANG-JATIM
,20:52:34 WIB,,,,,
51,5-Oct-20,-9.79,119.53,5.1,29 Km,17 km Tenggara WANOKAKA-NTT
,10:07:50 WIB,,,,,
52,2-Oct-20,-6.4,130.79,5.2,122 Km,183 km BaratLaut MALUKUTENGGARABRT
,01:15:36 WIB,,,,,
53,28-Sep-20,-11.46,117.94,5.3,10 Km,237 km BaratDaya KODI-SUMBABARATDAYA-NTT
,10:44:56 WIB,,,,,
54,22-Sep-20,-6.87,129.45,5.2,141 Km,232 km TimurLaut MALUKUBRTDAYA
,08:19:07 WIB,,,,,
55,19-Sep-20,2.24,126.84,5.1,10 Km,128 km BaratLaut HALMAHERABARAT-MALUT
,01:43:31 WIB,,,,,
56,17-Sep-20,-6.9,129.5,5.6,196 Km,233 km BaratLaut MALUKUTENGGARABRT
,17:32:26 WIB,,,,,
57,14-Sep-20,4.19,96.7,5.4,125 Km,43 km Tenggara KAB-NAGANRAYA-ACEH
,01:28:53 WIB,,,,,
58,13-Sep-20,-2.03,119.24,5.2,10 Km,28 km BaratLaut MAMUJUTENGAH-SULBAR
,23:59:58 WIB,,,,,
59,13-Sep-20,-7.52,128.51,5.5,183 Km,106 km TimurLaut MALUKUBRTDAYA
,03:26:18 WIB,,,,,
60,12-Sep-20,-6.65,104.44,5,10 Km,126 km BaratLaut SUMUR-BANTEN
,20:07:34 WIB,,,,,
