Data ke,Waktu Gempa,Lintang,Bujur,Magnitudo,Kedalaman (km),Wilayah,Provinsi
1,5-Dec-20,-7.84,128.34,5.50,10,70 km TimurLaut MALUKUBRTDAYA,Maluku
2,5-Dec-20,5.29,93.86,5.00,10,165 km BaratDaya BANDA-ACEH-ACEH,Aceh
3,4-Dec-20,3.15,98.16,5.40,131,37 km BaratLaut KAB-KARO-SUMUT,Sumatra Utara
4,3-Dec-20,-3.41,123.37,5.30,10,78 km TimurLaut KONAWE-KEP-SULTRA,Sulawesi Utara
5,1-Dec-20,2.97,96.04,5.00,26,66 km BaratLaut SINABANG-ACEH,Aceh
6,29-Nov-20,-4.97,102.93,5.10,10,50 km BaratDaya KAUR-BENGKULU,Bengkulu
7,25-Nov-20,1.85,127.28,5.40,77,64 km BaratLaut HALMAHERABARAT-MALUT,Maluku Utara
8,24-Nov-20,-2.31,128.03,5.10,10,85 km BaratLaut SERAMBAGIANBARAT-MALUKU,Maluku
9,22-Nov-20,-2.43,127.53,5.30,10,102 km BaratLaut SERAMBAGIANBARAT-MALUKU,Maluku
10,21-Nov-20,-4.27,102.11,5.00,10,55 km BaratDaya BENGKULU-BENGKULU,Bengkulu
11,18-Nov-20,-4.88,102.71,5.20,38,52 km BaratDaya BENGKULU-SELATAN,Bengkulu
12,18-Nov-20,-1.81,100.34,5.30,11,57 km BaratDaya PESISIRSELATAN-SUMBAR,Sumatra Barat
13,18-Nov-20,-9.5,119.02,5.10,10,10 km TimurLaut KODI-SUMBABARATDAYA-NTT,NTT
14,17-Nov-20,-2.87,99.07,6.30,10,109 km BaratDaya TUAPEJAT-SUMBAR,Sumatra Barat
15,14-Nov-20,-6.74,105.14,5.00,10,49 km BaratDaya SUMUR-BANTEN,Banten
16,14-Nov-20,5.69,95.56,5.30,10,30 km TimurLaut BANDAACEH-ACEH,Aceh
17,12-Nov-20,-9.53,118.17,5.20,24,90 km BaratLaut KODI-SUMBABARATDAYA-NTT,NTT
18,10-Nov-20,-6.33,104,5.50,10,121 km BaratDaya TANGGAMUS-LAMPUNG,Lampung
19,9-Nov-20,-5.13,90.69,5.30,10,1012 km BaratDaya NIASBARAT-SUMUT,Sumatra Utara
20,7-Nov-20,-1.98,119.33,5.10,10,21 km BaratLaut MAMUJUTENGAH-SULBAR,Sulawesi Barat
21,6-Nov-20,-7.73,128.51,5.10,148,92 km TimurLaut MALUKUBRTDAYA,Maluku
22,5-Nov-20,-7.57,106.05,5.20,10,74 km BaratDaya BAYAH-BANTEN,Banten
23,3-Nov-20,0.27,97.9,5.20,10,35 km Tenggara NIASSELATAN-SUMUT,Sumatra Utara
24,3-Nov-20,-3.26,131.13,5.20,10,73 km Tenggara SERAMBAGIANTIMUR-MALUKU,Maluku
25,1-Nov-20,-7.27,129.35,6.30,196,198 km TimurLaut MALUKUBRTDAYA,Maluku
26,29-Oct-20,-0.3,124.46,5.00,10,91 km Tenggara BOLAANGUKI-BOLSEL-SULUT,Sulawesi Utara
27,28-Oct-20,-0.3,124.49,5.70,10,93 km Tenggara BOLAANGUKI-BOLSEL-SULUT,Sulawesi Utara
28,28-Oct-20,-2.32,119.07,5.00,10,48 km TimurLaut MAMUJU-SULBAR,Sulawesi Barat
29,28-Oct-20,-2.24,119.22,5.40,10,34 km BaratDaya MAMUJUTENGAH-SULBAR,Sulawesi Barat
30,26-Oct-20,0.59,121.48,5.00,62,44 km Tnggara BUOL-SULTENG,Sulawesi Tengah
31,25-Oct-20,-8.22,107.87,5.90,10,90 km BaratDaya KAB-PANGANDARAN-JABAR,Jawa Barat
32,24-Oct-20,-1.91,138.42,5.00,10,37 km BaratDaya SARMI-PAPUA,Papua
33,20-Oct-20,-3.31,100.35,5.20,10,33 km BaratDaya PAPUAPAGAISELATAN-SUMBAR,Sumatra Barat
34,20-Oct-20,1.77,127.3,5.10,71,56 km BaratLaut HALMAHERABARAT-MALUT,Maluku Utara
35,19-Oct-20,-7.28,126.63,5.30,389,161 km BaratLaut MALUKUBARATDAYA,Maluku
36,19-Oct-20,-3.3,100.33,5.30,10,32 km BaratDaya PULAUPAGAISELATAN-SUMBAR,Sumatra Barat
37,19-Oct-20,2.88,96.22,5.40,11,48 km BaratLaut SINABANG-ACEH,Aceh
38,19-Oct-20,-3.34,100.37,5.00,19,36 km BaratDaya PULAUPAGAISELATAN-SUMBAR,Sumatra Barat
39,19-Oct-20,-3.31,100.4,5.70,12,32 km Tenggara PULAUPAGAISELATAN-SUMBAR,Sumatra Barat
40,19-Oct-20,-3.31,100.32,5.80,14,33 km BaratDaya PULAUPAGAISELATAN-SUMBAR,Sumatra Barat
41,19-Oct-20,-3.33,100.25,5.10,10,38 km BaratDaya PULAUPAGAISELATAN-SUMBAR,Sumatra Barat
42,18-Oct-20,-3.28,100.23,5.30,27,125 km BaratDaya MUKOMUKO-BENGKULU,Bengkulu
43,17-Oct-20,-3.25,100.3,5.40,10,117 km BaratDaya MUKOMUKO-BENGKULU,Bengkulu
44,16-Oct-20,-5.21,101.77,5.00,20,57 km BaratLaut ENGGANO-BENGKULU,Bengkulu
45,15-Oct-20,-3.21,100.31,5.30,14,114 km BaratDaya MUKOMUKO+BENGKULU,Bengkulu
46,15-Oct-20,4.06,95.94,5.20,27,22 km BaratDaya MEULABOH+ACEHBARAT,Aceh
47,9-Oct-20,-4.61,102.76,5.00,21,24 km BaratDaya BENGKULUSELATAN,Bengkulu
48,9-Oct-20,-6.02,122.58,5.40,10,47 km BaratDaya BUTONSELATAN-SULTRA,Sulawesi Utara
49,7-Oct-20,-10.61,121.11,5.10,29,74 km Tenggara WULA-WAIJELU-NTT,NTT
50,6-Oct-20,-9.31,112.93,5.00,10,134 km BaratDaya LUMAJANG-JATIM,Jawa Timur
51,5-Oct-20,-9.79,119.53,5.10,29,17 km Tenggara WANOKAKA-NTT,NTT
52,2-Oct-20,-6.4,130.79,5.20,122,183 km BaratLaut MALUKUTENGGARABRT,Maluku
53,28-Sep-20,-11.46,117.94,5.30,10,237 km BaratDaya KODI-SUMBABARATDAYA-NTT,NTT
54,22-Sep-20,-6.87,129.45,5.20,141,232 km TimutLaut MALUKUBRTDAYA,Maluku
55,19-Sep-20,2.24,126.84,5.10,10,128 km BaratLaut HALMAHERABARAT-MALUT,Maluku Utara
56,17-Sep-20,-6.9,129.5,5.60,196,233 km BaratLaut MALUKUTENGGARABRT,Maluku
57,14-Sep-20,4.19,96.7,5.40,125,43 km Tenggara KAB-NAGANRAYA-ACEH,Aceh
58,13-Sep-20,-2.03,119.24,5.20,10,28 km BaratLaut MAMUJUTENGAH+SULBAR,Sulawesi Barat
59,13-Sep-20,-7.52,128.51,5.50,183,106 km TimurLaut MALUKUBRTDAYA,Maluku
60,12-Sep-20,-6.65,104.44,5.00,10,126 km BaratLaut SUMUR-BANTEN,Banten
